code,name,categorie,serial,Commissioning,model,port,aggregat
21VA0531,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0532,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0533,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0552,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,,,,
21VA0553,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0556,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0557,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,,,,
21VA0571,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA1051,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22H08,Гомогенизатор TETRA ALEX  TA350/200BAR  (Аппаратный цех),Гомогенизаторы,№,2011,,,
22KKT1.1,Контрольная критическая точка,ККТ,,,,,
22PU01,Насос  Fristam-FPE 742/165A центробежный ,Насосы,,2012,,,
22PU02,Насос  Fristam-FPE 742/165A центробежный ,Насосы,,2012,,,
22PU03,Насос  Fristam-FPE 742/195A центробежный ,Насосы,,2012,,,
22PU04,Насос  Fristam-FPE 722A центробежный ,Насосы,,2002,,,
22PU05,Насос  Fristam-FPE 712/130A центробежный ,Насосы,,2012,,,
22PU06,Насос  STERLING LEMA-51AZ D11 136065-01 вакуумный ,Насосы,,2012,,,
22PU07,Насос  Fristam-FC 40-165D центробежный ,Насосы,,2012,,,
22PU08,Насос  Fristam-FC 40-125D центробежный ,Насосы,,2012,,,
22S01,Сепаратор MSE 140-01-177  Молочный,Сепараторы,1730-975,2012,,,
22TA05,Танк,Танки,1730-973,2012,,,
22TA06,"Танк THRUN  №D1.34-1739,ENTG.T.K E.MIL CH",Танки,1738-859,2012,,,
22VA0101,Клапан  GEA-NL-DN65/DN65 пневмо. плунжер,Запорная арматура,1736-551,2012,,,
22VA0102,Клапан  GEA-WP/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,1741-149,2012,,,
22VA0103,Клапан  GEA-WP/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0104,Клапан  GEA-WP/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0105,Клапан  GEA-NT/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0106,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0107,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0108,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0109,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0110,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0111,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0112,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0113,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0114,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0115,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0116,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0117,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0118,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0119,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0120,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0123,Клапан  -YWL-DN50 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0124,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0125,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0151,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0171,Клапан  Burkert-2301-DN40 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0172,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0173,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0191,Клапан  Burkert-2301-DN50 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0192,Клапан  Burkert-2301-DN50 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0193,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,2012,,,
22VA0194,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0291,Клапан  Burkert-2000-DN50 пневмо. запорный,Запорная арматура,,2012,,,
22VA0292,Клапан  Burkert-2301-DN50 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0391,Клапан  Burkert-2000-DN40 пневмо. запорный,Запорная арматура,,2012,,,
22VA0392,Клапан  Burkert-2301-DN40 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0401,Клапан  Burkert-2301-DN50 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0491,Клапан  Burkert-2301-DN25 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0492,Клапан  Burkert-2301-DN25 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0501,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
22VA0502,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0504,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0517,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,2012,,,
22VA0551,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0552,Клапан  GEA-WK/ECO-DN50/DN50 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0571,Клапан  Burkert-2301-DN50 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0572,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0592,Клапан  Burkert-2301-DN40 пневмо. регулирующий,Запорная арматура,,2017,,,
22VA0601,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0651,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0652,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0653,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0654,Клапан  Burkert-2000-DN15 пневмо. запорный,Запорная арматура,,2012,,,
22VA0691,Клапан  Burkert-2301-DN25 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0692,Клапан  Burkert-2301-DN65 пневмо. регулирующий,Запорная арматура,,2017,,,
22VA0701,Клапан  GEA-NL-DN40 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0702,Клапан  GEA-NL-DN40 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0703,Клапан  GEA-NL-DN40 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0751,Клапан  GEA-WK/ECO-DN40/DN40 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0752,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0753,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0771,Клапан  Burkert-2301-DN25 пневмо. регулирующий,Запорная арматура,,2012,,,
22VA0772,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0773,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0801,Клапан  GEA-NT/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,,2012,,,
22VA0802,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,2012,,,
22VA0803,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA0804,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
22VA1001,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2017,,,
22VA1002,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2017,,,
22VA1003,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2017,,,
22VA1004,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2019,,,
22VA1005,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2019,,,
22VA1006,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2019,,,
22VA1007,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2019,,,
22VA1008,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2019,,,
22VA1051,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2017,,,
22VA1052,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2017,,,
22VA1053,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2017,,,
22VA1054,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2017,,,
22VA1055,Клапан  GEA-WK/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,,2017,,,
22VA1056,Клапан  GEA-WK/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,,2017,,,
22VA1057,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2019,,,
22VA1058,Клапан  GEA-WK/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,,2019,,,
22VA1059,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2019,,,
22VA1060,Клапан  GEA-WK/ECO-DN65/DN65 пневмо. плунжер,Запорная арматура,,2019,,,
22VA1071,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2017,,,
22VA1072,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2017,,,
22VA1073,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2017,,,
22VA1074,Клапан  GEA-REC-DN65/DN65 пневмо. плунжер,Запорная арматура,,2019,,,
22WT01,Пастеризатор  Alfa Laval-FRONT10-RH пластинчатый ,Пастеризаторы,,2011,,,
22WT02,Теплообменник  Alfa Laval-M6-MBASE пластинчатый ,Теплообменники,,2011,,,
22WT03,Теплообменник  Alfa Laval-CB76-90H пластинчатый ,Теплообменники,,2012,,,
22WT04,Теплообменник  Alfa Laval-M6-MBASE пластинчатый ,Теплообменники,,2011,,,
22WT05,Теплообменник  Alfa Laval-M6-MBASE пластинчатый ,Теплообменники,,2017,,,
22WT06,Теплообменник  Alfa Laval-M10-MBASE пластинчатый ,Теплообменники,,2017,,,
23PU01,Насос  Fristam-FPE 722A центробежный ,Насосы,,2002,,,
23PU02,Насос  Fristam-FPE 742A центробежный ,Насосы,,2002,,,
23PU03,Насос  Fristam-FPE 742A центробежный ,Насосы,,2002,,,
23PU04,Насос  Fristam-FZ 22A центробежный ,Насосы,,2002,,,
23PU05,Насос  Fristam-FZ 22A центробежный ,Насосы,,,,,
23RW07,Мешалка  PRG-KFGRR-500  ,Мешалки,№11/36413,2002,,,
23RW08,Мешалка  PRG-KFGRR-500  ,Мешалки,№11/36412,2002,,,
23RW09,Мешалка  PRG-FGRP-50SI/A  ,Мешалки,№02/22412,2002,,,
23RW10,Мешалка  PRG-FGRP-50SI/A  ,Мешалки,№02/22413,2002,,,
23RW11,Мешалка  PRG-FGRP-50SI/A  ,Мешалки,№02/22409,2002,,,
23TA06,Танк  THRUN-THRUN-3 000L 3000 ,Танки,№2.23903.2,,,,
23TA07,Танк  THRUN-THRUN-3 000L 3000 ,Танки,№2.23903.2,2002,,,
23TA08,Танк  THRUN-THRUN-3 000L 3000 ,Танки,№2.23903.1,2002,,,
23TA09,Танк  THRUN-THRUN-18 000L 18000 ,Танки,№125944.2,2002,,,
23TA10,Танк  THRUN-THRUN-18 000L 18000 ,Танки,№125944.1,2002,,,
23TA11,Танк  THRUN-THRUN-3 000L 3000 ,Танки,№125944.3,2002,,,
23VA0171,Клапан  Burkert-2301-DN40 пневмо. регулирующий,Запорная арматура,,2012,,,
23VA0172,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
23VA0191,Клапан  Burkert-2301-DN40 пневмо. регулирующий,Запорная арматура,,2012,,,
23VA0192,Клапан  Burkert-2301-DN40 пневмо. регулирующий,Запорная арматура,,2012,,,
23VA0251,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
23VA0252,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,2012,,,
23VA0253,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,,,,
23VA0271,Клапан  Burkert-2301-DN40 пневмо. регулирующий,Запорная арматура,,2012,,,
23VA0272,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2014,,,
23VA0273,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2014,,,
23VA0611,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,,,,
23VA0621,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
23VA0622,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
23VA0623,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
23VA0625,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
23VA0631,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
23VA0632,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
23VA0634,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
23VA0654,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,,,,
23VA0655,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,,,,
23VA0673,Клапан  GEA-SV04-GS-DN40 пневмо. шибер,Запорная арматура,,,,,
23VA0711,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2002,,,
23VA0721,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,2012,,,
23VA0722,Клапан  GEA-REL-DN50/DN50 пневмо. плунжер,Запорная арматура,,2012,,,
23VA0723,Клапан  GEA-REL-DN50/DN50 пневмо. плунжер,Запорная арматура,,2012,,,
23VA0731,Клапан  GEA-REL-DN50/DN50 пневмо. плунжер,Запорная арматура,,2012,,,
23VA0732,Клапан  GEA-REL-DN50/DN50 пневмо. плунжер,Запорная арматура,,2012,,,
23VA0751,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
23VA0752,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
23VA0754,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,2012,,,
23VA0755,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,2012,,,
23VA0756,Клапан  GEA-MP/ECO-DN50/DN50 пневмо. плунжер,Запорная арматура,,2012,,,
23VA0773,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2012,,,
23VA0811,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2002,,,
23VA0821,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,2012,,,
23VA0822,Клапан  GEA-REL-DN50/DN50 пневмо. плунжер,Запорная арматура,,2012,,,
23VA0823,Клапан  GEA-REL-DN50/DN50 пневмо. плунжер,Запорная арматура,,2012,,,
